Symbol,Entry_Date,Exit_Date,Entry,Exit,EMA50,EMA200,RSI,Volume,Outcome
AAPL,2023-10-11 13:30:00-04:00,2023-10-17 09:30:00-04:00,178.58999633789062,175.0181964111328,176.4631337777228,176.35173047072428,64.07346069002989,3720449,0
AAPL,2023-10-11 14:30:00-04:00,2023-10-17 09:30:00-04:00,178.9499969482422,175.37099700927735,176.56928532247662,176.3797729353832,65.70884212785143,5572352,0
AAPL,2023-10-11 15:30:00-04:00,2023-10-17 09:30:00-04:00,179.1699981689453,175.5865982055664,176.6940192313991,176.41330753304106,69.63338453646922,5787619,0
AAPL,2023-10-12 09:30:00-04:00,2023-10-17 09:30:00-04:00,180.07000732421875,176.46860717773438,176.89111656431297,176.46611045530636,78.59438355889237,13432759,0
AAPL,2023-10-12 13:30:00-04:00,2023-10-16 09:30:00-04:00,180.33999633789065,176.73319641113284,177.49383177160968,176.64382284375264,55.14893248334995,6607337,0
AAPL,2023-10-12 14:30:00-04:00,2023-10-17 09:30:00-04:00,179.63499450683594,176.04229461669922,177.60779891376163,176.68119768009822,59.34607596379684,4772922,0
AAPL,2023-10-12 15:30:00-04:00,2023-10-16 09:30:00-04:00,180.3999938964844,176.7919940185547,177.730238004498,176.72148422783394,61.05048438918256,5779607,0
AAPL,2023-10-13 09:30:00-04:00,2023-10-16 09:30:00-04:00,181.4199981689453,177.7915982055664,177.8400325446862,176.75937989501267,59.42445601999139,9761566,0
AAPL,2023-10-13 10:30:00-04:00,2023-10-16 09:30:00-04:00,180.5200042724609,176.9096041870117,177.892972540636,176.78356519398176,49.84528339129159,6274151,0
AAPL,2023-11-07 09:30:00-05:00,2023-11-16 09:30:00-05:00,179.17999267578125,189.93079223632813,174.95678255149502,174.7104706364256,74.36870283475149,16268674,1
AAPL,2023-11-07 10:30:00-05:00,2023-11-20 09:30:00-05:00,180.69500732421875,191.53670776367187,175.2116146801052,174.77758039955626,76.41921978544303,8190077,1
AAPL,2023-11-07 12:30:00-05:00,2023-11-22 09:30:00-05:00,181.1750030517578,192.0455032348633,175.70310153162208,174.9126170731434,76.41252268424066,6208182,1
AAPL,2023-11-08 09:30:00-05:00,2023-12-05 09:30:00-05:00,182.3500061035156,193.29100646972654,176.66831485426715,175.1995235978575,75.02285676336153,13792847,1
AAPL,2023-11-08 11:30:00-05:00,2023-12-05 09:30:00-05:00,182.1499938964844,193.07899353027346,177.07962449238565,175.33456625638462,69.22765586129911,5030995,1
AAPL,2023-11-08 12:30:00-05:00,2023-11-22 09:30:00-05:00,181.8999938964844,192.81399353027348,177.29258017922683,175.40596355240902,71.7263113951937,4014911,1
