Datetime,Close,High,Low,Open,Volume
2023-08-24 09:30:00-04:00,442.1700134277344,445.2200012207031,442.1600036621094,444.69000244140625,15952086
2023-08-24 10:30:00-04:00,440.67999267578125,442.2799987792969,440.1400146484375,442.1698913574219,13399432
2023-08-24 11:30:00-04:00,440.0,440.6899108886719,439.110107421875,440.6899108886719,8911169
2023-08-24 12:30:00-04:00,439.1300048828125,440.8179931640625,439.0199890136719,440.0,8199089
2023-08-24 13:30:00-04:00,439.1534118652344,439.8999938964844,439.010009765625,439.1400146484375,6637556
2023-08-24 14:30:00-04:00,438.69000244140625,439.3999938964844,438.5199890136719,439.1499938964844,8869810
2023-08-24 15:30:00-04:00,436.9200134277344,438.79998779296875,436.8550109863281,438.68499755859375,17389978
2023-08-25 09:30:00-04:00,437.5899963378906,441.20001220703125,437.1700134277344,438.67999267578125,19433694
2023-08-25 10:30:00-04:00,438.0299987792969,438.1000061035156,435.0,437.5899963378906,17186326
2023-08-25 11:30:00-04:00,438.8299865722656,438.8399963378906,436.69000244140625,438.0450134277344,11612248
2023-08-25 12:30:00-04:00,438.1099853515625,439.1000061035156,437.6199951171875,438.8399963378906,9114930
2023-08-25 13:30:00-04:00,440.375,440.42999267578125,437.3699951171875,438.1400146484375,8641148
2023-08-25 14:30:00-04:00,440.92999267578125,441.29998779296875,439.7699890136719,440.3785095214844,9656221
2023-08-25 15:30:00-04:00,439.95001220703125,441.1700134277344,439.5299987792969,440.92999267578125,14029478
2023-08-28 09:30:00-04:00,443.1789855957031,443.2090148925781,441.7850036621094,442.239990234375,10815648
2023-08-28 10:30:00-04:00,441.4599914550781,443.2300109863281,441.20001220703125,443.1700134277344,8263255
2023-08-28 11:30:00-04:00,441.2099914550781,441.9800109863281,440.8999938964844,441.4599914550781,6378428
2023-08-28 12:30:00-04:00,442.739990234375,443.260009765625,441.0150146484375,441.21160888671875,6521708
2023-08-28 13:30:00-04:00,441.260009765625,442.9700012207031,440.8599853515625,442.760009765625,6998617
2023-08-28 14:30:00-04:00,441.7900085449219,442.3800048828125,440.989990234375,441.260009765625,6807229
2023-08-28 15:30:00-04:00,442.7200012207031,443.3999938964844,441.6499938964844,441.7900085449219,9312650
2023-08-29 09:30:00-04:00,445.95001220703125,446.07000732421875,442.4599914550781,442.75,14964158
2023-08-29 10:30:00-04:00,446.8550109863281,446.9700012207031,445.489990234375,445.9800109863281,12687419
2023-08-29 11:30:00-04:00,448.32501220703125,448.44500732421875,446.8500061035156,446.8599853515625,8456466
2023-08-29 12:30:00-04:00,448.2699890136719,448.44000244140625,447.54998779296875,448.3299865722656,5923199
2023-08-29 13:30:00-04:00,448.3800048828125,448.760009765625,447.6700134277344,448.2749938964844,7557368
2023-08-29 14:30:00-04:00,449.1731872558594,449.260009765625,448.1199951171875,448.3800048828125,8542971
2023-08-29 15:30:00-04:00,449.1600036621094,449.45001220703125,448.8699951171875,449.1700134277344,15905623
2023-08-30 09:30:00-04:00,449.2799987792969,451.6199951171875,448.7799987792969,449.510009765625,15625583
2023-08-30 10:30:00-04:00,450.4800109863281,450.6705017089844,449.25,449.2900085449219,8882246
2023-08-30 11:30:00-04:00,451.3399963378906,451.44000244140625,450.3500061035156,450.4849853515625,5740614
2023-08-30 12:30:00-04:00,450.92999267578125,451.6700134277344,450.9100036621094,451.3500061035156,5856686
