Datetime,Close,High,Low,Open,Volume
2023-08-24 09:30:00-04:00,177.94000244140625,178.22000122070312,177.41000366210938,177.66000366210938,1399634
2023-08-24 10:30:00-04:00,178.27000427246094,178.49000549316406,177.82000732421875,177.94000244140625,1251043
2023-08-24 11:30:00-04:00,178.11000061035156,178.31500244140625,178.07000732421875,178.27000427246094,343737
2023-08-24 12:30:00-04:00,178.08889770507812,178.10000610351562,177.9199981689453,178.10000610351562,227853
2023-08-24 13:30:00-04:00,177.94000244140625,178.1300048828125,177.86920166015625,178.08999633789062,395704
2023-08-24 14:30:00-04:00,177.96499633789062,177.99000549316406,177.85499572753906,177.93499755859375,239699
2023-08-24 15:30:00-04:00,177.83999633789062,177.98989868164062,177.83999633789062,177.9600067138672,1107725
2023-08-25 09:30:00-04:00,177.32000732421875,178.3800048828125,177.1699981689453,177.5800018310547,2006781
2023-08-25 10:30:00-04:00,176.8896942138672,177.3300018310547,176.6300048828125,177.27999877929688,1376974
2023-08-25 11:30:00-04:00,177.22999572753906,177.28750610351562,176.83999633789062,176.88999938964844,465061
2023-08-25 12:30:00-04:00,177.4600067138672,177.47999572753906,177.10000610351562,177.22999572753906,406798
2023-08-25 13:30:00-04:00,177.6300048828125,177.66000366210938,177.25999450683594,177.47000122070312,607315
2023-08-25 14:30:00-04:00,177.6300048828125,177.66009521484375,177.4199981689453,177.6300048828125,653517
2023-08-25 15:30:00-04:00,177.6300048828125,177.63999938964844,177.52999877929688,177.625,459148
2023-08-28 09:30:00-04:00,178.11500549316406,178.16000366210938,177.50999450683594,177.64999389648438,940023
2023-08-28 10:30:00-04:00,178.22999572753906,178.27000427246094,177.99000549316406,178.11000061035156,802275
2023-08-28 11:30:00-04:00,178.4799041748047,178.72999572753906,178.24000549316406,178.24000549316406,872992
2023-08-28 12:30:00-04:00,178.08999633789062,178.47000122070312,177.8800048828125,178.47000122070312,791526
2023-08-28 13:30:00-04:00,178.14999389648438,178.25999450683594,178.06100463867188,178.08999633789062,265535
2023-08-28 14:30:00-04:00,178.2100067138672,178.22999572753906,178.12429809570312,178.14999389648438,280302
2023-08-28 15:30:00-04:00,178.13999938964844,178.22000122070312,178.1199951171875,178.21499633789062,545876
2023-08-29 09:30:00-04:00,179.48899841308594,179.5500030517578,177.89999389648438,178.02999877929688,2386140
2023-08-29 10:30:00-04:00,179.63999938964844,179.72500610351562,179.17999267578125,179.47000122070312,1486987
2023-08-29 11:30:00-04:00,179.55999755859375,179.82009887695312,179.47000122070312,179.6300048828125,754922
2023-08-29 12:30:00-04:00,179.75,179.86000061035156,179.49000549316406,179.57000732421875,508451
